"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Tyler Lyons","Cardinals","4","1","3","50","0","54.0","11.33","3.33","0.50",".295","79.3 %","41.9 %","6.5 %","2.83","2.86","3.65","1.0","11334"
"Matt Barnes","Red Sox","7","3","1","70","0","69.2","10.72","3.62","0.90",".298","72.2 %","48.9 %","14.3 %","3.88","3.33","3.27","1.0","12863"
"Parker Bridwell","Angels","10","3","0","21","20","121.0","5.43","2.23","1.41",".262","79.3 %","38.1 %","12.3 %","3.64","4.84","5.07","1.0","11502"
"Ryan Tepera","Blue Jays","7","1","2","73","0","77.2","9.39","3.59","0.81",".260","70.8 %","41.6 %","8.8 %","3.59","3.75","4.41","1.0","10291"
"Liam Hendriks","Athletics","4","2","1","70","0","64.0","10.97","3.23","0.98",".303","65.5 %","41.5 %","10.4 %","4.22","3.22","3.66","1.0","3548"
"Matt Moore","Giants","6","15","0","32","31","174.1","7.64","3.46","1.39",".320","66.9 %","37.7 %","11.6 %","5.52","4.75","5.10","1.0","1890"
"Edwin Diaz","Mariners","4","6","34","66","0","66.0","12.14","4.36","1.36",".236","78.5 %","39.1 %","14.3 %","3.27","4.02","3.94","1.0","14710"
"Pedro Strop","Cubs","5","4","0","69","0","60.1","9.70","3.88","0.60",".270","76.0 %","59.2 %","8.7 %","2.83","3.31","3.80","1.0","4070"
"Edinson Volquez","Marlins","4","8","0","17","17","92.1","7.90","5.17","0.78",".278","71.7 %","45.8 %","9.9 %","4.19","4.35","4.78","1.0","3990"
"Alex Meyer","Angels","4","5","0","13","13","67.1","10.02","5.61","0.80",".255","74.8 %","46.5 %","11.3 %","3.74","4.14","4.38","1.0","12833"
"Addison Reed","- - -","2","3","19","77","0","76.0","9.00","1.78","1.30",".266","86.9 %","40.8 %","12.5 %","2.84","3.67","3.85","1.0","10586"
"Matt Garza","Brewers","6","9","0","24","22","114.2","6.20","3.53","1.33",".287","66.3 %","40.0 %","12.3 %","4.94","4.91","5.12","1.0","3340"
"Brandon Kintzler","- - -","4","3","29","72","0","71.1","4.92","2.02","0.63",".271","76.9 %","54.9 %","8.3 %","3.03","3.77","4.36","0.9","9939"
"Carl Edwards Jr.","Cubs","5","4","0","73","0","66.1","12.75","5.16","0.81",".192","78.3 %","44.4 %","13.3 %","2.98","3.40","3.43","0.9","13607"
"Jakob Junis","Royals","9","3","0","20","16","98.1","7.32","2.29","1.37",".294","72.8 %","40.1 %","12.3 %","4.30","4.55","4.77","0.9","13619"
"Tyler Skaggs","Angels","2","6","0","16","16","85.0","8.05","2.96","1.38",".318","73.7 %","41.8 %","14.1 %","4.55","4.56","4.49","0.9","10190"
"Emilio Pagan","Mariners","2","3","0","34","0","50.1","10.01","1.43","1.25",".258","73.3 %","22.3 %","9.5 %","3.22","3.28","4.08","0.8","14771"
"Matt Albers","Nationals","7","2","2","63","0","61.0","9.30","2.51","0.89",".203","92.4 %","51.0 %","13.6 %","1.62","3.40","3.41","0.8","4300"
"Brett Anderson","- - -","4","4","0","13","13","55.1","6.18","3.42","0.81",".364","60.9 %","49.2 %","11.9 %","6.34","4.10","4.27","0.8","8223"
"Hyun-Jin Ryu","Dodgers","5","9","1","25","24","126.2","8.24","3.20","1.56",".299","81.4 %","45.1 %","18.6 %","3.77","4.74","4.14","0.8","14444"
"Darren O'Day","Orioles","2","3","2","64","0","60.1","11.34","3.58","1.19",".256","77.5 %","47.8 %","15.7 %","3.43","3.70","3.48","0.8","3321"
"Scott Oberg","Rockies","0","1","0","66","0","58.1","8.49","3.70","0.62",".367","67.5 %","57.1 %","9.3 %","4.94","3.50","3.92","0.8","13911"
"Francisco Liriano","- - -","6","7","0","38","18","97.0","7.89","4.92","1.02",".329","65.5 %","44.9 %","10.8 %","5.66","4.64","5.04","0.8","3201"
"Ben Lively","Phillies","4","7","0","15","15","88.2","5.28","2.44","1.32",".280","74.2 %","38.2 %","10.4 %","4.26","4.97","5.58","0.8","14932"
"Hunter Strickland","Giants","4","3","1","68","0","61.1","8.51","4.26","0.59",".314","82.9 %","38.8 %","5.1 %","2.64","3.63","5.07","0.8","7836"
"Wade Miley","Orioles","8","15","0","32","32","157.1","8.12","5.32","1.43",".332","71.4 %","50.3 %","19.4 %","5.61","5.27","4.66","0.8","8779"
"Brian Duensing","Cubs","1","1","0","68","0","62.1","8.81","2.60","0.87",".306","84.8 %","48.6 %","10.3 %","2.74","3.41","3.82","0.7","4064"
"Matt Bowman","Cardinals","3","6","2","75","0","58.2","7.06","2.76","0.61",".276","66.3 %","54.6 %","8.0 %","3.99","3.65","4.28","0.7","13528"
"Ricky Nolasco","Angels","6","15","0","33","33","181.0","7.11","2.88","1.74",".310","75.6 %","40.1 %","15.6 %","4.92","5.10","4.79","0.7","3830"
"Robert Gsellman","Mets","8","7","0","25","22","119.2","6.17","3.16","1.28",".303","62.7 %","49.3 %","14.4 %","5.19","4.89","4.79","0.7","13696"
"Arodys Vizcaino","Braves","5","3","14","62","0","57.1","10.05","3.30","1.10",".248","83.3 %","38.5 %","10.4 %","2.83","3.72","4.21","0.7","5498"
"Joe Kelly","Red Sox","4","1","0","54","0","58.0","8.07","4.19","0.47",".252","77.5 %","50.6 %","7.3 %","2.79","3.49","4.07","0.7","9761"
"Sam Freeman","Braves","2","0","0","58","0","60.0","8.85","4.05","0.45",".278","80.0 %","58.5 %","7.0 %","2.55","3.34","3.97","0.7","6832"
"Jacob Barnes","Brewers","3","4","2","73","0","72.0","10.00","4.13","1.00",".272","70.9 %","53.3 %","16.0 %","4.00","3.88","3.67","0.7","12323"
"Tyler Duffey","Twins","2","3","1","56","0","71.0","8.49","2.28","1.14",".326","66.7 %","49.5 %","13.0 %","4.94","3.72","3.80","0.7","13758"
"Nick Goody","Indians","1","2","0","56","0","54.2","11.85","3.29","1.15",".269","80.5 %","28.2 %","11.7 %","2.80","3.45","3.74","0.7","13685"
"Ross Stripling","Dodgers","3","5","2","49","2","74.1","8.96","2.30","1.21",".294","77.0 %","49.3 %","16.7 %","3.75","3.68","3.37","0.7","13273"
"Chase Whitley","Rays","2","1","2","41","0","57.1","6.75","2.51","0.63",".256","61.9 %","32.8 %","5.3 %","4.08","3.56","5.01","0.7","10982"
"Odrisamer Despaigne","Marlins","2","3","1","18","8","58.1","4.78","3.70","0.46",".280","66.4 %","37.6 %","4.0 %","4.01","4.15","5.77","0.7","16017"
"Andrew Chafin","Diamondbacks","1","0","0","71","0","51.1","10.69","3.68","0.88",".326","78.1 %","56.3 %","16.7 %","3.51","3.39","3.16","0.7","12988"
"Blake Wood","- - -","3","4","0","72","0","74.1","10.17","4.00","0.97",".369","64.6 %","52.1 %","15.1 %","5.45","3.67","3.54","0.7","1345"
"Homer Bailey","Reds","6","9","0","18","18","91.0","6.63","4.15","1.09",".346","64.8 %","44.6 %","13.1 %","6.43","4.90","4.98","0.7","8362"
"Andrew Triggs","Athletics","5","6","0","12","12","65.1","6.89","2.62","1.24",".294","62.5 %","49.8 %","13.2 %","4.27","4.47","4.53","0.7","13533"
"Scott Feldman","Reds","7","7","0","21","21","111.1","7.52","2.83","1.70",".300","74.5 %","42.8 %","21.4 %","4.77","5.04","4.16","0.7","6283"
"Shane Greene","Tigers","4","3","9","71","0","67.2","9.71","4.52","0.80",".265","84.2 %","47.4 %","10.2 %","2.66","3.84","4.24","0.6","10756"
"Brandon Maurer","- - -","3","6","22","68","0","59.1","8.95","2.88","1.21",".361","61.1 %","38.5 %","12.1 %","6.52","3.93","4.16","0.6","4878"
"Paul Sewald","Mets","0","6","0","57","0","65.1","9.51","2.89","1.10",".287","65.0 %","32.2 %","9.9 %","4.55","3.74","4.35","0.6","13892"
"Bud Norris","Angels","2","6","19","60","3","62.0","10.74","3.92","1.16",".310","76.2 %","44.8 %","16.0 %","4.21","3.90","3.66","0.6","9492"
"Carlos Rodon","White Sox","2","5","0","12","12","69.1","9.87","4.02","1.56",".297","77.6 %","44.1 %","19.0 %","4.15","4.69","4.05","0.6","16137"
"Chris Stratton","Giants","4","4","1","13","10","58.2","7.82","4.30","0.77",".316","77.8 %","42.8 %","10.0 %","3.68","4.01","4.42","0.6","13761"
"Kyle Barraclough","Marlins","6","2","1","66","0","66.0","10.36","5.18","0.68",".291","79.1 %","43.0 %","8.9 %","3.00","3.66","4.18","0.6","13713"
"Matt Belisle","Twins","2","2","9","62","0","60.1","8.06","3.28","1.04",".253","65.9 %","40.7 %","10.9 %","4.03","4.07","4.45","0.6","1837"
"Gregory Infante","White Sox","2","1","0","52","0","54.2","8.07","3.29","0.66",".272","76.9 %","36.1 %","6.3 %","3.13","3.58","4.71","0.6","9119"
"Paul Blackburn","Athletics","3","1","0","10","10","58.2","3.38","2.45","0.77",".273","77.9 %","56.3 %","10.2 %","3.22","4.38","4.76","0.6","14739"
"Austin Pruitt","Rays","7","5","1","30","8","83.0","7.16","2.39","1.19",".345","65.5 %","47.7 %","12.5 %","5.31","4.27","4.43","0.6","15290"
"Michael Lorenzen","Reds","8","4","2","70","0","83.0","8.67","3.69","0.98",".295","70.6 %","54.6 %","15.0 %","4.45","4.01","3.89","0.6","14843"
"Bartolo Colon","- - -","7","14","0","28","28","143.0","5.60","2.20","1.76",".331","61.4 %","41.8 %","14.1 %","6.48","5.21","5.14","0.6","375"
"David Phelps","- - -","4","5","0","54","0","55.2","10.02","4.20","0.81",".319","77.5 %","45.2 %","11.6 %","3.40","3.55","3.76","0.6","6316"
"Matt Bush","Rangers","3","4","10","57","0","52.1","9.97","3.27","1.20",".329","71.2 %","37.3 %","10.3 %","3.78","4.00","4.57","0.6","1246"
"Eddie Butler","Cubs","4","3","0","13","11","54.2","4.94","4.61","0.66",".266","75.3 %","44.3 %","6.9 %","3.95","4.66","5.59","0.6","13453"
"Aaron Loup","Blue Jays","2","3","0","70","0","57.2","9.99","4.53","0.62",".340","75.8 %","53.5 %","9.5 %","3.75","3.66","4.05","0.6","10343"
"Oliver Drake","- - -","3","5","1","64","0","56.0","9.96","4.02","0.96",".361","71.6 %","48.8 %","14.3 %","4.66","3.68","3.62","0.6","8823"
"Matt Andriese","Rays","5","5","1","18","17","86.0","7.95","2.93","1.67",".296","74.3 %","44.9 %","17.4 %","4.50","4.93","4.41","0.5","12022"
"Heath Hembree","Red Sox","2","3","0","62","0","62.0","10.16","2.61","1.45",".360","80.5 %","38.9 %","13.7 %","3.63","3.92","3.91","0.5","11632"
"Jared Hughes","Brewers","5","3","1","67","0","59.2","7.24","3.62","0.60",".278","79.0 %","62.2 %","12.9 %","3.02","3.93","3.98","0.5","9325"
"John Lackey","Cubs","12","12","0","31","30","170.2","7.86","2.79","1.90",".268","76.3 %","41.2 %","18.2 %","4.59","5.30","4.62","0.5","1507"
"George Kontos","- - -","1","6","1","65","0","66.1","9.50","2.71","1.22",".291","79.0 %","46.7 %","14.8 %","3.39","3.72","3.59","0.5","9486"
"Anibal Sanchez","Tigers","3","7","0","28","17","105.1","8.89","2.48","2.22",".354","67.1 %","35.6 %","19.3 %","6.41","5.33","4.40","0.5","3284"
"Dan Otero","Indians","3","0","0","52","0","60.0","5.70","1.35","0.90",".302","77.0 %","63.5 %","26.1 %","2.85","3.64","3.02","0.4","7385"
"Tony Barnette","Rangers","2","1","2","50","0","57.1","8.95","3.45","1.10",".348","66.5 %","41.2 %","11.3 %","5.49","4.01","4.35","0.4","3555"
"Zach McAllister","Indians","2","2","0","50","0","62.0","9.58","3.05","1.16",".294","89.3 %","35.8 %","11.8 %","2.61","3.77","4.04","0.4","2895"
"Robert Stephenson","Reds","5","6","1","25","11","84.2","9.14","5.63","1.28",".300","70.5 %","37.5 %","12.6 %","4.68","4.92","5.07","0.4","13594"
"Alex Wilson","Tigers","2","5","2","66","0","60.0","6.30","2.25","1.05",".311","67.8 %","41.6 %","10.0 %","4.50","4.17","4.73","0.4","9239"
"Taylor Rogers","Twins","7","3","0","69","0","55.2","7.92","3.40","0.97",".291","82.8 %","45.0 %","12.2 %","3.07","4.09","4.26","0.4","13449"
"Steven Matz","Mets","2","7","0","13","13","66.2","6.48","2.57","1.62",".329","66.9 %","47.1 %","17.1 %","6.08","5.05","4.58","0.4","13361"
"A.J. Ramos","- - -","2","4","27","61","0","58.2","11.05","5.22","1.07",".294","77.1 %","40.1 %","12.1 %","3.99","4.10","4.30","0.4","8350"
"Wandy Peralta","Reds","3","4","0","69","0","64.2","7.93","3.34","1.11",".260","74.9 %","54.2 %","15.1 %","3.76","4.16","4.01","0.4","14295"
"Felix Hernandez","Mariners","6","5","0","16","16","86.2","8.10","2.70","1.77",".286","76.4 %","46.9 %","22.4 %","4.36","5.02","4.03","0.4","4772"
"Kirby Yates","- - -","4","5","1","62","0","56.2","13.98","3.02","1.91",".291","76.8 %","28.9 %","17.6 %","3.97","3.92","3.30","0.4","9073"
"Joe Ross","Nationals","5","3","0","13","13","73.2","8.31","2.44","1.95",".330","75.1 %","37.5 %","18.8 %","5.01","4.99","4.22","0.4","12972"
"Fernando Salas","- - -","2","2","0","61","0","58.2","8.59","3.38","1.07",".337","63.1 %","47.5 %","10.8 %","5.22","3.92","4.34","0.4","4971"
"Zack Wheeler","Mets","3","7","0","17","17","86.1","8.44","4.17","1.56",".332","73.1 %","47.5 %","19.5 %","5.21","5.03","4.36","0.4","10310"
"Enny Romero","Nationals","2","4","2","53","0","55.2","10.51","3.72","1.13",".327","77.3 %","39.0 %","10.8 %","3.56","3.86","4.30","0.3","4001"
"Josh Fields","Dodgers","5","0","2","57","0","57.0","9.47","2.37","1.58",".219","88.1 %","29.7 %","14.1 %","2.84","4.18","4.11","0.3","5070"
"Sergio Romo","- - -","3","1","0","55","0","55.2","9.54","3.07","1.46",".243","79.0 %","37.2 %","14.5 %","3.56","4.22","4.10","0.3","9817"
"James Pazos","Mariners","4","5","0","59","0","53.2","10.90","4.02","1.17",".317","71.2 %","51.0 %","17.9 %","3.86","4.05","3.65","0.3","13323"
"Peter Moylan","Royals","0","0","0","79","0","59.1","6.98","3.79","0.61",".221","68.3 %","61.1 %","10.5 %","3.49","4.00","4.26","0.3","4891"
"Adam Morgan","Phillies","3","3","0","37","0","54.2","10.37","2.96","1.65",".297","80.0 %","45.6 %","20.0 %","4.12","4.22","3.47","0.3","12580"
"Francis Martes","Astros","5","2","0","32","4","54.1","11.43","5.13","1.16",".328","62.3 %","42.6 %","14.0 %","5.80","4.45","4.41","0.3","17303"
"Cory Gearrin","Giants","4","3","0","68","0","68.0","8.47","4.63","0.53",".263","88.0 %","48.0 %","6.9 %","1.99","3.89","4.65","0.3","7947"
"Hector Rondon","Cubs","4","1","0","61","0","57.1","10.83","3.14","1.57",".292","71.9 %","48.3 %","19.6 %","4.24","4.12","3.43","0.3","2391"
"Jarlin Garcia","Marlins","1","2","0","68","0","53.1","7.09","2.87","1.01",".263","65.4 %","39.0 %","9.2 %","4.73","4.23","4.93","0.3","18282"
"Jesse Chavez","Angels","7","11","0","38","21","138.0","7.76","2.93","1.83",".306","71.9 %","41.1 %","18.3 %","5.35","5.09","4.43","0.3","5448"
"Matt Cain","Giants","3","11","0","27","23","124.1","5.43","3.55","1.30",".328","67.3 %","42.5 %","12.2 %","5.43","5.06","5.30","0.3","4732"
"Matt Grace","Nationals","1","0","2","40","1","50.0","5.58","3.24","0.54",".294","68.9 %","61.1 %","9.4 %","4.32","3.96","4.32","0.3","11449"
"Trevor Cahill","- - -","4","3","0","21","14","84.0","9.32","4.82","1.71",".326","76.3 %","55.6 %","25.0 %","4.93","5.28","4.16","0.3","6249"
"Matt Shoemaker","Angels","6","3","0","14","14","77.2","8.00","3.24","1.74",".276","76.2 %","38.5 %","14.6 %","4.52","5.13","4.98","0.3","4776"
"Tyler Clippard","- - -","2","8","5","67","0","60.1","10.74","4.62","1.49",".248","71.2 %","32.5 %","12.8 %","4.77","4.57","4.71","0.2","5640"
"Chris Hatcher","- - -","1","2","1","49","0","59.2","9.50","3.17","1.51",".294","76.9 %","32.5 %","12.8 %","4.22","4.28","4.43","0.2","3299"
"Pedro Baez","Dodgers","3","6","0","66","0","64.0","9.00","4.08","1.27",".267","84.7 %","34.6 %","11.3 %","2.95","4.44","4.83","0.2","5420"
"Alec Asher","Orioles","2","5","0","24","6","60.0","7.05","3.45","1.50",".287","71.4 %","38.9 %","12.8 %","5.25","5.26","5.40","0.2","13560"
"Jose Urena","Marlins","14","7","0","34","28","169.2","5.99","3.39","1.38",".249","79.0 %","43.1 %","13.1 %","3.82","5.20","5.29","0.2","11589"
"Asher Wojciechowski","Reds","4","3","0","25","8","62.1","9.24","2.74","2.02",".322","62.3 %","29.1 %","15.1 %","6.50","5.18","4.91","0.2","10836"
"Danny Barnes","Blue Jays","3","6","0","60","0","66.0","8.45","3.27","1.50",".222","81.6 %","32.2 %","12.0 %","3.55","4.58","4.89","0.2","11388"
"Jim Johnson","Braves","6","3","22","61","0","56.2","9.69","3.97","1.27",".317","62.3 %","48.5 %","15.7 %","5.56","4.22","3.98","0.2","3656"
"Jeremy Hellickson","- - -","8","11","0","30","30","164.0","5.27","2.58","1.92",".246","66.3 %","34.9 %","15.1 %","5.43","5.77","5.51","0.2","4371"
"T.J. McFarland","Diamondbacks","4","5","0","43","1","54.0","4.83","2.83","0.67",".323","53.6 %","67.0 %","12.1 %","5.33","4.10","4.23","0.2","3237"
"Luke Sims","Braves","3","6","0","14","10","57.2","6.87","3.59","1.40",".314","68.9 %","38.1 %","13.0 %","5.62","5.07","5.16","0.2","13470"
"Keynan Middleton","Angels","6","1","3","64","0","58.1","9.72","2.78","1.70",".318","84.7 %","37.6 %","16.2 %","3.86","4.37","4.00","0.2","15264"
"Richard Bleier","Orioles","2","1","0","57","0","63.1","3.69","1.85","0.85",".259","79.3 %","68.8 %","14.0 %","1.99","4.37","4.35","0.2","7803"
"Joaquin Benoit","- - -","1","6","2","52","0","50.1","8.23","3.93","1.25",".263","67.6 %","33.3 %","10.0 %","4.65","4.51","5.17","0.2","1437"
"Mark Leiter","Phillies","3","6","0","27","11","90.2","8.34","3.08","1.79",".282","67.1 %","48.9 %","21.7 %","4.96","5.14","4.19","0.2","15551"
"Mike Dunn","Rockies","5","1","0","68","0","50.1","10.19","5.01","1.43",".276","76.9 %","32.8 %","13.1 %","4.47","4.63","4.72","0.2","9948"
"Daniel Coulombe","Athletics","2","2","0","72","0","51.2","6.79","3.83","0.70",".280","75.3 %","56.2 %","9.8 %","3.48","4.16","4.57","0.2","13293"
"Ryan Buchter","- - -","4","3","1","71","0","65.1","8.95","3.58","1.38",".209","81.7 %","32.9 %","11.0 %","2.89","4.54","5.02","0.1","9456"
"Vince Velasquez","Phillies","2","7","0","15","15","72.0","8.50","4.25","1.88",".303","74.4 %","42.5 %","20.8 %","5.13","5.52","4.59","0.1","11189"
"John Brebbia","Cardinals","0","0","0","50","0","51.2","8.88","1.92","1.39",".216","90.9 %","25.2 %","10.3 %","2.44","4.13","4.80","0.1","12777"
"Mike Fiers","Astros","8","10","0","29","28","153.1","8.57","3.64","1.88",".299","73.2 %","42.9 %","19.5 %","5.22","5.43","4.62","0.1","7754"
"Phil Hughes","Twins","4","3","0","14","9","53.2","6.37","2.18","2.01",".333","69.4 %","30.4 %","13.8 %","5.87","5.43","5.41","0.1","7450"
"Jake Odorizzi","Rays","10","8","0","28","28","143.1","7.97","3.83","1.88",".227","72.5 %","30.6 %","15.5 %","4.14","5.43","5.10","0.1","6397"
"Santiago Casilla","Athletics","4","5","16","63","0","59.0","8.69","3.36","1.22",".301","76.2 %","40.1 %","12.1 %","4.27","4.41","4.64","0.1","2873"
"Kelvin Herrera","Royals","3","3","26","64","0","59.1","8.49","3.03","1.37",".295","70.2 %","47.5 %","14.5 %","4.25","4.30","4.19","0.1","6033"
"Ryan Pressly","Twins","2","3","0","57","0","61.1","8.95","2.79","1.47",".264","66.7 %","50.6 %","18.5 %","4.70","4.36","3.81","0.1","7005"
"Luke Jackson","Braves","2","0","0","43","0","50.2","5.86","3.38","0.71",".311","71.8 %","45.2 %","6.8 %","4.62","4.24","5.29","0.1","11752"
"Vance Worley","Marlins","2","6","1","24","12","71.2","6.28","3.77","1.13",".378","64.5 %","48.6 %","13.0 %","6.91","4.90","4.98","0.1","6435"
"Seung Hwan Oh","Cardinals","1","6","20","62","0","59.1","8.19","2.28","1.52",".319","76.4 %","28.7 %","10.8 %","4.10","4.44","5.04","0.1","18719"
"Ariel Miranda","Mariners","8","7","0","31","29","160.0","7.71","3.54","2.08",".236","73.6 %","31.7 %","15.3 %","5.12","5.73","5.41","0.1","17526"
"Wade LeBlanc","Pirates","5","2","1","50","0","68.0","7.15","2.25","1.32",".269","69.1 %","45.9 %","15.4 %","4.50","4.28","4.06","0.1","5221"
"Daniel Hudson","Pirates","2","7","0","71","0","61.2","9.63","4.82","1.02",".313","71.6 %","43.3 %","11.9 %","4.38","4.34","4.57","0.1","7146"
"Ubaldo Jimenez","Orioles","6","11","0","31","25","142.2","8.77","3.66","2.08",".329","66.2 %","43.1 %","20.8 %","6.81","5.54","4.52","0.1","3374"
"Tony Watson","- - -","7","4","10","71","0","66.2","7.16","2.70","1.22",".309","84.1 %","47.8 %","15.0 %","3.38","4.45","4.29","0.1","3132"
"A.J. Cole","Nationals","3","5","0","11","8","52.0","7.62","4.67","1.38",".293","83.1 %","44.0 %","13.6 %","3.81","5.20","5.21","0.1","11467"
"Craig Stammen","Padres","2","3","0","60","0","80.1","8.29","3.14","1.34",".263","85.0 %","51.6 %","17.4 %","3.14","4.38","3.96","0.0","7274"
"Andrew Moore","Mariners","1","5","0","11","9","59.0","4.73","1.22","2.14",".243","66.8 %","28.7 %","14.1 %","5.34","5.65","5.55","0.0","17553"
"Jorge de la Rosa","Diamondbacks","3","1","0","65","0","51.1","7.89","3.68","1.23",".273","76.4 %","45.2 %","12.5 %","4.21","4.58","4.75","0.0","2047"
"Yovani Gallardo","Mariners","5","10","1","28","22","130.2","6.47","4.13","1.65",".286","69.7 %","44.1 %","15.9 %","5.72","5.53","5.20","0.0","8173"
"Wily Peralta","Brewers","5","4","0","19","8","57.1","8.16","5.02","1.57",".362","59.8 %","44.5 %","16.4 %","7.85","5.34","4.96","0.0","7738"
"Jharel Cotton","Athletics","9","10","0","24","24","129.0","7.33","3.70","1.95",".279","65.7 %","37.0 %","15.3 %","5.58","5.68","5.38","0.0","13654"
"Nick Martinez","Rangers","3","8","0","23","18","111.1","5.42","2.26","2.10",".276","68.0 %","41.6 %","18.6 %","5.66","5.80","5.00","0.0","12730"
"Luke Gregerson","Astros","2","3","1","65","0","61.0","10.33","2.95","1.92",".306","79.9 %","50.0 %","23.6 %","4.57","4.62","3.45","0.0","4090"
"Jose Torres","Padres","7","4","1","62","0","68.1","8.30","2.11","1.71",".266","75.6 %","35.4 %","14.4 %","4.21","4.66","4.53","0.0","14957"
"A.J. Griffin","Rangers","6","6","0","18","15","77.1","7.10","3.26","2.33",".251","70.7 %","28.5 %","14.2 %","5.94","6.26","6.14","-0.1","11132"
"Dan Jennings","- - -","3","1","0","77","0","62.2","7.32","4.45","1.15",".256","78.6 %","59.8 %","21.1 %","3.45","4.72","4.14","-0.1","8073"
"Adam Conley","Marlins","8","8","0","22","20","102.2","6.31","3.68","1.67",".295","65.5 %","39.6 %","13.9 %","6.14","5.62","5.59","-0.1","14457"
"Daniel Gossett","Athletics","4","11","0","18","18","91.1","7.09","3.05","2.07",".328","68.0 %","43.1 %","21.2 %","6.11","5.59","4.53","-0.1","16164"
"Adam Ottavino","Rockies","2","3","0","63","0","53.1","10.63","6.58","1.35",".310","76.4 %","37.2 %","14.3 %","5.06","5.16","5.08","-0.1","1247"
"Miguel Castro","Orioles","3","3","0","39","1","66.1","5.16","3.80","1.09",".227","75.2 %","49.3 %","11.8 %","3.53","4.94","5.19","-0.1","15684"
"Jhan Marinez","- - -","0","3","0","43","0","58.1","6.94","4.01","0.93",".326","80.1 %","50.6 %","11.3 %","3.70","4.65","4.93","-0.1","5830"
"James Shields","White Sox","5","7","0","21","21","117.0","7.92","4.08","2.08",".270","74.5 %","38.2 %","17.4 %","5.23","5.83","5.19","-0.2","7059"
"Drew Storen","Reds","4","2","1","58","0","54.2","7.90","3.79","1.15",".316","72.3 %","50.0 %","13.2 %","4.45","4.88","4.94","-0.2","6983"
"Josh Smoker","Mets","1","2","0","54","0","56.1","10.86","5.11","1.60",".351","76.5 %","42.9 %","17.9 %","5.11","4.92","4.38","-0.2","10285"
"Christian Bergman","Mariners","4","5","0","13","8","54.0","5.50","2.50","2.00",".293","77.2 %","37.7 %","16.9 %","5.00","5.82","5.27","-0.2","10925"
"Hector Santiago","Twins","4","8","0","15","14","70.1","6.53","3.97","1.92",".263","72.9 %","30.2 %","13.2 %","5.63","6.02","6.13","-0.2","4026"
"Carlos Torres","Brewers","4","4","1","67","0","72.2","6.94","4.09","1.24",".309","77.0 %","45.7 %","13.2 %","4.21","4.89","4.96","-0.2","7624"
"Ian Kennedy","Royals","5","13","0","30","30","154.0","7.66","3.56","1.99",".257","68.2 %","36.0 %","15.7 %","5.38","5.61","5.25","-0.2","6986"
"Sam Gaviglio","- - -","4","5","0","16","13","74.1","5.93","3.15","1.94",".274","77.5 %","49.4 %","21.3 %","4.36","5.81","4.80","-0.2","12778"
"Zach Eflin","Phillies","1","5","0","11","11","64.1","4.90","1.68","2.24",".297","69.3 %","44.1 %","18.8 %","6.16","6.10","5.21","-0.2","13774"
"Junichi Tazawa","Marlins","3","5","0","55","0","55.1","6.18","3.58","1.30",".280","64.9 %","35.6 %","11.6 %","5.69","4.96","5.30","-0.3","4079"
"Austin Bibens-Dirkx","Rangers","5","2","0","24","6","69.1","4.93","2.60","1.82",".268","78.8 %","39.9 %","15.2 %","4.67","5.68","5.42","-0.3","9559"
"Dustin McGowan","Marlins","8","2","0","63","0","77.2","7.42","3.13","1.51",".286","72.9 %","50.9 %","18.6 %","4.75","4.81","4.23","-0.3","8600"
"Casey Lawrence","- - -","2","3","0","27","2","55.1","8.46","4.07","1.79",".377","70.8 %","46.5 %","20.4 %","6.34","5.27","4.42","-0.3","11121"
"Edwin Jackson","- - -","5","6","0","16","13","76.0","7.11","3.43","2.37",".287","71.3 %","37.0 %","17.7 %","5.21","6.14","5.37","-0.3","1841"
"Chad Bell","Tigers","0","3","0","28","4","62.1","8.23","4.48","1.73",".363","67.2 %","45.0 %","17.4 %","6.93","5.47","4.93","-0.3","10297"
"Jordan Lyles","- - -","1","5","0","38","5","69.2","7.11","2.84","2.07",".352","61.2 %","49.4 %","21.1 %","7.75","5.68","4.64","-0.3","7593"
"Hansel Robles","Mets","7","5","0","46","0","56.2","9.53","4.61","1.59",".259","74.6 %","34.0 %","15.2 %","4.92","5.13","4.91","-0.3","11801"
"Warwick Saupold","Tigers","3","2","0","45","0","62.2","6.32","4.45","1.29",".289","73.5 %","43.1 %","12.5 %","4.88","5.39","5.57","-0.3","13211"
"Jose Ramirez","Braves","2","3","0","68","0","62.0","8.13","4.21","1.31",".226","79.8 %","46.1 %","12.9 %","3.19","4.88","5.00","-0.4","10171"
"Jeremy Jeffress","- - -","5","2","0","61","1","65.1","7.03","4.68","1.38",".318","77.9 %","59.1 %","20.8 %","4.68","5.24","4.56","-0.4","9490"
"Tim Adleman","Reds","5","11","0","30","20","122.1","7.95","3.75","2.13",".282","72.7 %","34.4 %","17.4 %","5.52","5.87","5.22","-0.4","10968"
"Justin Grimm","Cubs","1","2","1","50","0","55.1","9.60","4.39","1.95",".263","70.5 %","43.1 %","22.2 %","5.53","5.36","4.28","-0.4","11720"
"Tom Koehler","- - -","1","7","0","27","13","72.2","7.68","4.33","1.98",".313","68.2 %","40.2 %","18.8 %","6.69","6.05","5.27","-0.6","6570"
