Away True Probability (Close),Away True Line (Close),,Away Implied Probability (Close),Away Line (Close),Away True Probability (Open),Away True Line (Open),,Away Implied Probability (Open),Away Line (Open),Away,Away Score,-,Date,-,Home Score,Home,Home Line (Open),Home Implied Probability (Open),,Home True Line (Open),Home True Probability (Open),Home Line (Close),Home Implied Probability (Close),,Home True Line (Close),Home True Probability (Close)
46.21%,+116,102.55%,47.39%,+111,44.14%,+127,102.51%,45.25%,+121,Carolina Hurricanes,3,,21-Oct,,4,Dallas Stars,-134,57.26%,102.51%, -127,55.86%,-123,55.16%,102.55%, -116,53.79%
55.67%, -126,102.54%,57.08%,-133,60.02%, -150,102.52%,61.54%, -160,Chicago Blackhawks,4,,21-Oct,,2,Arizona Coyotes,+144,40.98%,102.52%,+150,39.98%,+120,45.45%,102.54%,+126,44.33%
40.35%,+148,102.41%,41.32%,+142,41.16%,+143,102.51%,42.19%,+137,Minnesota Wild,4,,21-Oct,,2,Calgary Flames,-152,60.32%,102.51%, -143,58.84%,-157,61.09%,102.41%, -148,59.65%
56.61%, -130,102.43%,57.98%,-138,58.44%, -141,102.39%,59.84%, -149,St. Louis Blues,2,,21-Oct,OT,3,Vegas Golden Knights,+135,42.55%,102.39%,+141,41.56%,+125,44.44%,102.43%,+130,43.39%
42.25%,+137,102.47%,43.29%,+131,42.42%,+136,102.49%,43.48%,+130,Vancouver Canucks,4,,22-Oct,,1,Detroit Red Wings,-144,59.02%,102.49%, -136,57.58%,-145,59.18%,102.47%, -137,57.75%
43.76%,+129,102.47%,44.84%,+123,41.39%,+142,102.37%,42.37%,+136,Los Angeles Kings,2,,23-Oct,,3,Toronto Maple Leafs,-150,60.00%,102.37%, -142,58.61%,-136,57.63%,102.47%, -129,56.24%
48.04%,+108,102.53%,49.26%,+103,47.82%,+109,102.51%,49.02%,+104,San Jose Sharks,4,,23-Oct,,1,New York Rangers,-115,53.49%,102.51%, -109,52.18%,-114,53.27%,102.53%, -108,51.96%
47.60%,+110,102.48%,48.78%,+105,43.03%,+132,102.39%,44.05%,+127,Detroit Red Wings,0,,24-Oct,,1,Buffalo Sabres,-140,58.33%,102.39%, -132,56.97%,-116,53.70%,102.48%, -110,52.40%
36.03%,+178,102.42%,36.90%,+171,37.12%,+169,102.44%,38.02%,+163,Arizona Coyotes,3,,24-Oct,,5,New York Islanders,-181,64.41%,102.44%, -169,62.88%,-190,65.52%,102.42%, -178,63.97%
43.39%,+130,102.43%,44.44%,+125,46.73%,+114,102.39%,47.85%,+109,Anaheim Ducks,6,,24-Oct,,2,Philadelphia Flyers,-120,54.55%,102.39%, -114,53.27%,-138,57.98%,102.43%, -130,56.61%
40.67%,+146,102.45%,41.67%,+140,41.16%,+143,102.51%,42.19%,+137,Edmonton Oilers,1,,24-Oct,OT,2,Pittsburgh Penguins,-152,60.32%,102.51%, -143,58.84%,-155,60.78%,102.45%, -146,59.33%
49.54%,+102,102.43%,50.74%,-103,51.16%, -105,102.38%,52.38%, -110,Tampa Bay Lightning,5,,24-Oct,,1,Carolina Hurricanes,+100,50.00%,102.38%,+105,48.84%,-107,51.69%,102.43%, -102,50.46%
43.95%,+128,102.49%,45.05%,+122,45.80%,+118,102.50%,46.95%,+113,Florida Panthers,1,,24-Oct,,5,Montreal Canadiens,-125,55.56%,102.50%, -118,54.20%,-135,57.45%,102.49%, -128,56.05%
45.40%,+120,102.46%,46.51%,+115,43.95%,+128,102.49%,45.05%,+122,Los Angeles Kings,3,SO,24-Oct,,2,Ottawa Senators,-135,57.45%,102.49%, -128,56.05%,-127,55.95%,102.46%, -120,54.60%
41.16%,+143,102.51%,42.19%,+137,43.03%,+132,102.39%,44.05%,+127,Calgary Flames,3,SO,24-Oct,,2,Nashville Predators,-140,58.33%,102.39%, -132,56.97%,-152,60.32%,102.51%, -143,58.84%
36.67%,+173,102.51%,37.59%,+166,37.25%,+168,102.45%,38.17%,+162,Vancouver Canucks,1,,24-Oct,,0,Minnesota Wild,-180,64.29%,102.45%, -168,62.75%,-185,64.91%,102.51%, -173,63.33%
55.40%, -124,102.37%,56.71%,-131,53.99%, -117,102.53%,55.36%, -124,Dallas Stars,3,,24-Oct,,5,Colorado Avalanche,+112,47.17%,102.53%,+117,46.01%,+119,45.66%,102.37%,+124,44.60%
62.01%, -163,102.41%,63.50%,-174,60.02%, -150,102.52%,61.54%, -160,Chicago Blackhawks,2,,24-Oct,,4,Vegas Golden Knights,+144,40.98%,102.52%,+150,39.98%,+157,38.91%,102.41%,+163,37.99%
39.06%,+156,102.41%,40.00%,+150,40.83%,+145,1.024709254,41.84%,+139,Calgary Flames,2,,25-Oct,,5,St. Louis Blues,-154,60.63%,102.47%, -145,59.17%,-166,62.41%,102.41%, -156,60.94%
27.81%,+260,102.45%,28.49%,+251,32.87%,+204,1.024200337,33.67%,+197,Buffalo Sabres,1,,25-Oct,,5,Columbus Blue Jackets,-220,68.75%,102.42%, -204,67.13%,-284,73.96%,102.45%, -260,72.19%
49.30%,+103,102.42%,50.50%,-102,48.27%,+107,102.56%,49.50%,+102,San Jose Sharks,1,,26-Oct,,2,Boston Bruins,-113,53.05%,102.56%, -107,51.73%,-108,51.92%,102.42%, -103,50.70%
41.00%,+144,102.49%,42.02%,+138,40.83%,+145,102.47%,41.84%,+139,Carolina Hurricanes,6,,26-Oct,,3,Toronto Maple Leafs,-154,60.63%,102.47%, -145,59.17%,-153,60.47%,102.49%, -144,59.00%
39.51%,+153,102.46%,40.49%,+147,37.67%,+165,102.51%,38.61%,+159,Arizona Coyotes,2,,26-Oct,,5,New York Rangers,-177,63.90%,102.51%, -165,62.33%,-163,61.98%,102.46%, -153,60.49%
38.57%,+159,102.49%,39.53%,+153,38.13%,+162,102.43%,39.06%,+156,Winnipeg Jets,1,,26-Oct,OT,2,Pittsburgh Penguins,-173,63.37%,102.43%, -162,61.87%,-170,62.96%,102.49%, -159,61.43%
46.21%,+116,102.55%,47.39%,+111,47.38%,+111,102.46%,48.54%,+106,Los Angeles Kings,4,,26-Oct,,0,Montreal Canadiens,-117,53.92%,102.46%, -111,52.62%,-123,55.16%,102.55%, -116,53.79%
48.84%,+105,102.38%,50.00%,+100,45.60%,+119,102.48%,46.73%,+114,Philadelphia Flyers,4,,26-Oct,,5,Ottawa Senators,-126,55.75%,102.48%, -119,54.40%,-110,52.38%,102.38%, -105,51.16%
34.49%,+190,102.44%,35.34%,+183,32.87%,+204,102.42%,33.67%,+197,Detroit Red Wings,2,,26-Oct,,3,Tampa Bay Lightning,-220,68.75%,102.42%, -204,67.13%,-204,67.11%,102.44%, -190,65.51%
45.00%,+122,102.41%,46.08%,+117,49.07%,+104,102.40%,50.25%, -101,Anaheim Ducks,3,,26-Oct,,8,Florida Panthers,-109,52.15%,102.40%, -104,50.93%,-129,56.33%,102.41%, -122,55.00%
45.20%,+121,102.44%,46.30%,+116,43.95%,+128,102.49%,45.05%,+122,New York Islanders,4,,26-Oct,,8,Minnesota Wild,-135,57.45%,102.49%, -128,56.05%,-128,56.14%,102.44%, -121,54.80%
45.80%,+118,102.50%,46.95%,+113,47.38%,+111,102.46%,48.54%,+106,Dallas Stars,4,,26-Oct,,5,Edmonton Oilers,-117,53.92%,102.46%, -111,52.62%,-125,55.56%,102.50%, -118,54.20%
54.80%, -121,102.44%,56.14%,-128,58.27%, -140,102.41%,59.68%, -148,Washington Capitals,2,,26-Oct,,6,Vancouver Canucks,+134,42.74%,102.41%,+140,41.73%,+116,46.30%,102.44%,+121,45.20%
47.60%,+110,102.48%,48.78%,+105,45.80%,+118,102.50%,46.95%,+113,Colorado Avalanche,0,,27-Oct,,7,Vegas Golden Knights,-125,55.56%,102.50%, -118,54.20%,-116,53.70%,102.48%, -110,52.40%
43.21%,+131,102.41%,44.25%,+126,46.73%,+114,102.39%,47.85%,+109,Ottawa Senators,4,,27-Oct,SO,5,New Jersey Devils,-120,54.55%,102.39%, -114,53.27%,-139,58.16%,102.41%, -131,56.79%
35.12%,+185,102.41%,35.97%,+178,34.85%,+187,102.49%,35.71%,+180,Winnipeg Jets,1,,27-Oct,OT,2,Columbus Blue Jackets,-201,66.78%,102.49%, -187,65.15%,-198,66.44%,102.41%, -185,64.88%
47.38%,+111,102.46%,48.54%,+106,46.73%,+114,102.39%,47.85%,+109,St. Louis Blues,2,,27-Oct,,1,Carolina Hurricanes,-120,54.55%,102.39%, -114,53.27%,-117,53.92%,102.46%, -111,52.62%
46.21%,+116,102.55%,47.39%,+111,45.60%,+119,102.48%,46.73%,+114,Nashville Predators,2,,27-Oct,,1,Chicago Blackhawks,-126,55.75%,102.48%, -119,54.40%,-123,55.16%,102.55%, -116,53.79%
43.95%,+128,102.49%,45.05%,+122,43.03%,+132,102.39%,44.05%,+127,Dallas Stars,2,,27-Oct,,1,Calgary Flames,-140,58.33%,102.39%, -132,56.97%,-135,57.45%,102.49%, -128,56.05%
53.79%, -116,102.55%,55.16%,-123,53.99%, -117,102.53%,55.36%, -124,San Jose Sharks,3,,28-Oct,,2,Buffalo Sabres,+112,47.17%,102.53%,+117,46.01%,+111,47.39%,102.55%,+116,46.21%
46.94%,+113,102.41%,48.08%,+108,49.07%,+104,102.40%,50.25%, -101,Los Angeles Kings,2,OT,28-Oct,,1,Boston Bruins,-109,52.15%,102.40%, -104,50.93%,-119,54.34%,102.41%, -113,53.06%
43.95%,+128,102.49%,45.05%,+122,40.67%,+146,102.45%,41.67%,+140,Philadelphia Flyers,4,,28-Oct,,2,Toronto Maple Leafs,-155,60.78%,102.45%, -146,59.33%,-135,57.45%,102.49%, -128,56.05%
42.25%,+137,102.47%,43.29%,+131,44.33%,+126,102.54%,45.45%,+120,New York Rangers,4,,28-Oct,,5,Montreal Canadiens,-133,57.08%,102.54%, -126,55.67%,-145,59.18%,102.47%, -137,57.75%
39.06%,+156,102.41%,40.00%,+150,38.57%,+159,102.49%,39.53%,+153,Anaheim Ducks,4,,28-Oct,,1,Tampa Bay Lightning,-170,62.96%,102.49%, -159,61.43%,-166,62.41%,102.41%, -156,60.94%
40.51%,+147,102.43%,41.49%,+141,41.16%,+143,102.51%,42.19%,+137,Detroit Red Wings,3,SO,28-Oct,,2,Florida Panthers,-152,60.32%,102.51%, -143,58.84%,-156,60.94%,102.43%, -147,59.49%
43.03%,+132,102.39%,44.05%,+127,39.98%,+150,102.52%,40.98%,+144,Arizona Coyotes,3,,28-Oct,,4,New Jersey Devils,-160,61.54%,102.52%, -150,60.02%,-140,58.33%,102.39%, -132,56.97%
46.01%,+117,102.53%,47.17%,+112,43.39%,+130,102.43%,44.44%,+125,Columbus Blue Jackets,1,,28-Oct,,4,St. Louis Blues,-138,57.98%,102.43%, -130,56.61%,-124,55.36%,102.53%, -117,53.99%
46.01%,+117,102.53%,47.17%,+112,44.80%,+123,102.39%,45.87%,+118,New York Islanders,6,,28-Oct,,2,Nashville Predators,-130,56.52%,102.39%, -123,55.20%,-124,55.36%,102.53%, -117,53.99%
50.46%, -102,102.43%,51.69%,-107,51.16%, -105,102.38%,52.38%, -110,Pittsburgh Penguins,1,,28-Oct,,2,Minnesota Wild,+100,50.00%,102.38%,+105,48.84%,-103,50.74%,102.43%,+102,49.54%
52.40%, -110,102.48%,53.70%,-116,54.20%, -118,102.50%,55.56%, -125,Chicago Blackhawks,3,,28-Oct,,6,Colorado Avalanche,+113,46.95%,102.50%,+118,45.80%,+105,48.78%,102.48%,+110,47.60%
44.33%,+126,102.54%,45.45%,+120,45.80%,+118,102.50%,46.95%,+113,Washington Capitals,5,,28-Oct,,2,Edmonton Oilers,-125,55.56%,102.50%, -118,54.20%,-133,57.08%,102.54%, -126,55.67%
39.51%,+153,102.46%,40.49%,+147,42.25%,+137,102.47%,43.29%,+131,Anaheim Ducks,4,SO,29-Oct,,3,Carolina Hurricanes,-145,59.18%,102.47%, -137,57.75%,-163,61.98%,102.46%, -153,60.49%
50.23%, -101,102.44%,51.46%,-106,48.27%,+107,102.56%,49.50%,+102,Pittsburgh Penguins,1,,29-Oct,,7,Winnipeg Jets,-113,53.05%,102.56%, -107,51.73%,-104,50.98%,102.44%,+101,49.77%
42.25%,+137,102.47%,43.29%,+131,46.94%,+113,102.41%,48.08%,+108,Washington Capitals,1,,29-Oct,,2,Calgary Flames,-119,54.34%,102.41%, -113,53.06%,-145,59.18%,102.47%, -137,57.75%
38.91%,+157,102.39%,39.84%,+151,38.57%,+159,102.49%,39.53%,+153,Vegas Golden Knights,3,,30-Oct,,6,New York Islanders,-170,62.96%,102.49%, -159,61.43%,-167,62.55%,102.39%, -157,61.09%
37.12%,+169,102.44%,38.02%,+163,34.38%,+191,102.42%,35.21%,+184,Arizona Coyotes,4,OT,30-Oct,,3,Philadelphia Flyers,-205,67.21%,102.42%, -191,65.62%,-181,64.41%,102.44%, -169,62.88%
43.03%,+132,102.39%,44.05%,+127,42.25%,+137,102.47%,43.29%,+131,Boston Bruins,3,,30-Oct,SO,4,Columbus Blue Jackets,-145,59.18%,102.47%, -137,57.75%,-140,58.33%,102.39%, -132,56.97%
47.82%,+109,102.51%,49.02%,+104,45.80%,+118,102.50%,46.95%,+113,Montreal Canadiens,8,,30-Oct,,3,Ottawa Senators,-125,55.56%,102.50%, -118,54.20%,-115,53.49%,102.51%, -109,52.18%
51.96%, -108,102.53%,53.27%,-114,54.20%, -118,102.50%,55.56%, -125,Tampa Bay Lightning,8,,30-Oct,,5,Florida Panthers,+113,46.95%,102.50%,+118,45.80%,+103,49.26%,102.53%,+108,48.04%
43.39%,+130,102.43%,44.44%,+125,45.80%,+118,102.50%,46.95%,+113,Los Angeles Kings,2,,30-Oct,,4,St. Louis Blues,-125,55.56%,102.50%, -118,54.20%,-138,57.98%,102.43%, -130,56.61%
56.42%, -129,102.45%,57.81%,-137,52.18%, -109,102.51%,53.49%, -115,Dallas Stars,2,OT,30-Oct,,1,Vancouver Canucks,+104,49.02%,102.51%,+109,47.82%,+124,44.64%,102.45%,+129,43.58%
47.60%,+110,102.48%,48.78%,+105,48.27%,+107,102.56%,49.50%,+102,Toronto Maple Leafs,2,,30-Oct,,3,San Jose Sharks,-113,53.05%,102.56%, -107,51.73%,-116,53.70%,102.48%, -110,52.40%
32.98%,+203,102.44%,33.78%,+196,37.85%,+164,102.40%,38.76%,+158,Vegas Golden Knights,4,,31-Oct,,6,New York Rangers,-175,63.64%,102.40%, -164,62.15%,-219,68.65%,102.44%, -203,67.02%
36.67%,+173,102.51%,37.59%,+166,37.99%,+163,102.41%,38.91%,+157,Arizona Coyotes,3,,31-Oct,,5,Detroit Red Wings,-174,63.50%,102.41%, -163,62.01%,-185,64.91%,102.51%, -173,63.33%
43.39%,+130,102.43%,44.44%,+125,43.95%,+128,102.49%,45.05%,+122,Winnipeg Jets,2,,31-Oct,,1,Minnesota Wild,-135,57.45%,102.49%, -128,56.05%,-138,57.98%,102.43%, -130,56.61%
41.90%,+139,102.43%,42.92%,+133,44.33%,+126,102.54%,45.45%,+120,Philadelphia Flyers,0,,1-Nov,,3,Chicago Blackhawks,-133,57.08%,102.54%, -126,55.67%,-147,59.51%,102.43%, -139,58.10%
47.60%,+110,102.48%,48.78%,+105,48.27%,+107,102.56%,49.50%,+102,Pittsburgh Penguins,3,,1-Nov,,2,Edmonton Oilers,-113,53.05%,102.56%, -107,51.73%,-116,53.70%,102.48%, -110,52.40%
46.21%,+116,102.55%,47.39%,+111,47.38%,+111,102.46%,48.54%,+106,New Jersey Devils,2,,1-Nov,,0,Vancouver Canucks,-117,53.92%,102.46%, -111,52.62%,-123,55.16%,102.55%, -116,53.79%
52.62%, -111,102.46%,53.92%,-117,51.73%, -107,102.56%,53.05%, -113,Toronto Maple Leafs,3,,1-Nov,,1,Anaheim Ducks,+102,49.50%,102.56%,+107,48.27%,+106,48.54%,102.46%,+111,47.38%
44.41%,+125,102.35%,45.45%,+120,46.94%,+113,102.41%,48.08%,+108,Nashville Predators,1,,1-Nov,,4,San Jose Sharks,-119,54.34%,102.41%, -113,53.06%,-132,56.90%,102.35%, -125,55.59%
35.24%,+184,102.43%,36.10%,+177,34.38%,+191,102.42%,35.21%,+184,Vegas Golden Knights,1,,2-Nov,,2,Boston Bruins,-205,67.21%,102.42%, -191,65.62%,-197,66.33%,102.43%, -184,64.76%
44.33%,+126,102.54%,45.45%,+120,41.39%,+142,102.37%,42.37%,+136,New York Islanders,3,,2-Nov,,4,Washington Capitals,-150,60.00%,102.37%, -142,58.61%,-133,57.08%,102.54%, -126,55.67%
42.42%,+136,102.49%,43.48%,+130,43.03%,+132,102.39%,44.05%,+127,Detroit Red Wings,1,,2-Nov,,3,Ottawa Senators,-140,58.33%,102.39%, -132,56.97%,-144,59.02%,102.49%, -136,57.58%
39.06%,+156,102.41%,40.00%,+150,39.21%,+155,102.42%,40.16%,+149,New York Rangers,2,OT,2-Nov,,1,Tampa Bay Lightning,-165,62.26%,102.42%, -155,60.79%,-166,62.41%,102.41%, -156,60.94%
50.70%, -103,102.42%,51.92%,-108,52.18%, -109,102.51%,53.49%, -115,Columbus Blue Jackets,7,,2-Nov,,3,Florida Panthers,+104,49.02%,102.51%,+109,47.82%,-102,50.50%,102.42%,+103,49.30%
36.67%,+173,102.51%,37.59%,+166,38.57%,+159,102.49%,39.53%,+153,Philadelphia Flyers,2,,2-Nov,,0,St. Louis Blues,-170,62.96%,102.49%, -159,61.43%,-185,64.91%,102.51%, -173,63.33%
47.38%,+111,102.46%,48.54%,+106,42.25%,+137,102.47%,43.29%,+131,Montreal Canadiens,3,,2-Nov,,6,Minnesota Wild,-145,59.18%,102.47%, -137,57.75%,-117,53.92%,102.46%, -111,52.62%
49.54%,+102,102.43%,50.74%,-103,47.82%,+109,102.51%,49.02%,+104,Dallas Stars,2,,2-Nov,,5,Winnipeg Jets,-115,53.49%,102.51%, -109,52.18%,-107,51.69%,102.43%, -102,50.46%
53.79%, -116,102.55%,55.16%,-123,52.18%, -109,102.51%,53.49%, -115,Carolina Hurricanes,3,,2-Nov,,5,Colorado Avalanche,+104,49.02%,102.51%,+109,47.82%,+111,47.39%,102.55%,+116,46.21%
43.03%,+132,102.39%,44.05%,+127,47.16%,+112,102.44%,48.31%,+107,Pittsburgh Penguins,1,,2-Nov,OT,2,Calgary Flames,-118,54.13%,102.44%, -112,52.84%,-140,58.33%,102.39%, -132,56.97%
47.38%,+111,102.46%,48.54%,+106,51.39%, -106,102.36%,52.61%, -111,Buffalo Sabres,5,,2-Nov,,4,Arizona Coyotes,+101,49.75%,102.36%,+106,48.61%,-117,53.92%,102.46%, -111,52.62%
43.39%,+130,102.43%,44.44%,+125,42.07%,+138,102.45%,43.10%,+132,Toronto Maple Leafs,3,,2-Nov,,5,Los Angeles Kings,-146,59.35%,102.45%, -138,57.93%,-138,57.98%,102.43%, -130,56.61%
35.74%,+180,102.50%,36.63%,+173,41.00%,+144,102.49%,42.02%,+138,New Jersey Devils,3,,3-Nov,,6,Edmonton Oilers,-153,60.47%,102.49%, -144,59.00%,-193,65.87%,102.50%, -180,64.26%
51.16%, -105,102.38%,52.38%,-110,50.93%, -104,102.40%,52.15%, -109,Nashville Predators,5,,3-Nov,,3,Anaheim Ducks,-101,50.25%,102.40%,+104,49.07%,+100,50.00%,102.38%,+105,48.84%
34.61%,+189,102.46%,35.46%,+182,36.03%,+178,102.42%,36.90%,+171,Vegas Golden Knights,5,,4-Nov,,4,Ottawa Senators,-190,65.52%,102.42%, -178,63.97%,-203,67.00%,102.46%, -189,65.39%
48.27%,+107,102.56%,49.50%,+102,44.80%,+123,102.39%,45.87%,+118,Toronto Maple Leafs,4,,4-Nov,,6,St. Louis Blues,-130,56.52%,102.39%, -123,55.20%,-113,53.05%,102.56%, -107,51.73%
46.82%,+114,102.18%,47.85%,+109,44.80%,+123,102.39%,45.87%,+118,Montreal Canadiens,5,OT,4-Nov,,4,Winnipeg Jets,-130,56.52%,102.39%, -123,55.20%,-119,54.34%,102.18%, -114,53.18%
47.60%,+110,102.48%,48.78%,+105,48.84%,+105,102.38%,50.00%,+100,Washington Capitals,3,,4-Nov,,2,Boston Bruins,-110,52.38%,102.38%, -105,51.16%,-116,53.70%,102.48%, -110,52.40%
46.01%,+117,102.53%,47.17%,+112,43.95%,+128,102.49%,45.05%,+122,Columbus Blue Jackets,4,,4-Nov,SO,5,Tampa Bay Lightning,-135,57.45%,102.49%, -128,56.05%,-124,55.36%,102.53%, -117,53.99%
47.38%,+111,102.46%,48.54%,+106,50.00%,+100,102.44%,51.22%, -105,New York Rangers,5,OT,4-Nov,,4,Florida Panthers,-105,51.22%,102.44%,+100,50.00%,-117,53.92%,102.46%, -111,52.62%
38.28%,+161,102.45%,39.22%,+155,40.67%,+146,102.45%,41.67%,+140,Colorado Avalanche,5,SO,4-Nov,,4,Philadelphia Flyers,-155,60.78%,102.45%, -146,59.33%,-172,63.24%,102.45%, -161,61.72%
38.71%,+158,102.51%,39.68%,+152,36.03%,+178,102.42%,36.90%,+171,Buffalo Sabres,1,,4-Nov,,5,Dallas Stars,-190,65.52%,102.42%, -178,63.97%,-169,62.83%,102.51%, -158,61.29%
46.21%,+116,102.55%,47.39%,+111,46.73%,+114,102.39%,47.85%,+109,Chicago Blackhawks,2,,4-Nov,,0,Minnesota Wild,-120,54.55%,102.39%, -114,53.27%,-123,55.16%,102.55%, -116,53.79%
57.93%, -138,102.45%,59.35%,-146,56.05%, -128,102.49%,57.45%, -135,Carolina Hurricanes,1,,4-Nov,SO,2,Arizona Coyotes,+122,45.05%,102.49%,+128,43.95%,+132,43.10%,102.45%,+138,42.07%
53.79%, -116,102.55%,55.16%,-123,56.97%, -132,102.39%,58.33%, -140,Pittsburgh Penguins,2,,4-Nov,,4,Vancouver Canucks,+127,44.05%,102.39%,+132,43.03%,+111,47.39%,102.55%,+116,46.21%
41.90%,+139,102.43%,42.92%,+133,39.98%,+150,102.52%,40.98%,+144,Nashville Predators,4,OT,4-Nov,,3,Los Angeles Kings,-160,61.54%,102.52%, -150,60.02%,-147,59.51%,102.43%, -139,58.10%
37.99%,+163,102.41%,38.91%,+157,37.53%,+166,102.49%,38.46%,+160,Anaheim Ducks,1,,4-Nov,SO,2,San Jose Sharks,-178,64.03%,102.49%, -166,62.47%,-174,63.50%,102.41%, -163,62.01%
34.88%,+187,102.38%,35.71%,+180,35.49%,+182,102.47%,36.36%,+175,Detroit Red Wings,4,,5-Nov,,0,Edmonton Oilers,-195,66.10%,102.47%, -182,64.51%,-200,66.67%,102.38%, -187,65.12%
33.89%,+195,102.46%,34.72%,+188,35.49%,+182,102.47%,36.36%,+175,Colorado Avalanche,4,,5-Nov,,6,New York Islanders,-195,66.10%,102.47%, -182,64.51%,-210,67.74%,102.46%, -195,66.11%
43.95%,+128,102.49%,45.05%,+122,39.98%,+150,102.52%,40.98%,+144,Montreal Canadiens,2,,5-Nov,,0,Chicago Blackhawks,-160,61.54%,102.52%, -150,60.02%,-135,57.45%,102.49%, -128,56.05%
37.85%,+164,102.40%,38.76%,+158,39.06%,+156,102.41%,40.00%,+150,New Jersey Devils,4,,5-Nov,SO,5,Calgary Flames,-166,62.41%,102.41%, -156,60.94%,-175,63.64%,102.40%, -164,62.15%
51.73%, -107,102.56%,53.05%,-113,45.80%,+118,102.50%,46.95%,+113,Minnesota Wild,3,,6-Nov,,5,Boston Bruins,-125,55.56%,102.50%, -118,54.20%,+102,49.50%,102.56%,+107,48.27%
32.43%,+208,102.45%,33.22%,+201,31.99%,+213,102.48%,32.79%,+205,Vegas Golden Knights,3,,6-Nov,SO,4,Toronto Maple Leafs,-230,69.70%,102.48%, -213,68.01%,-225,69.23%,102.45%, -208,67.57%
51.62%, -107,102.34%,52.83%,-112,49.30%,+103,102.42%,50.50%, -102,Columbus Blue Jackets,3,,6-Nov,,5,New York Rangers,-108,51.92%,102.42%, -103,50.70%,+102,49.50%,102.34%,+107,48.38%
33.89%,+195,102.46%,34.72%,+188,32.87%,+204,102.42%,33.67%,+197,Arizona Coyotes,2,,6-Nov,OT,3,Washington Capitals,-220,68.75%,102.42%, -204,67.13%,-210,67.74%,102.46%, -195,66.11%
43.76%,+129,102.47%,44.84%,+123,43.03%,+132,102.39%,44.05%,+127,Winnipeg Jets,4,,6-Nov,,1,Dallas Stars,-140,58.33%,102.39%, -132,56.97%,-136,57.63%,102.47%, -129,56.24%
41.39%,+142,102.37%,42.37%,+136,43.95%,+128,102.49%,45.05%,+122,Detroit Red Wings,3,,6-Nov,,2,Vancouver Canucks,-135,57.45%,102.49%, -128,56.05%,-150,60.00%,102.37%, -142,58.61%
49.77%,+101,102.44%,50.98%,-104,50.93%, -104,102.40%,52.15%, -109,Washington Capitals,1,,7-Nov,,3,Buffalo Sabres,-101,50.25%,102.40%,+104,49.07%,-106,51.46%,102.44%, -101,50.23%
55.67%, -126,102.54%,57.08%,-133,55.20%, -123,102.39%,56.52%, -130,St. Louis Blues,3,,7-Nov,,1,New Jersey Devils,+118,45.87%,102.39%,+123,44.80%,+120,45.45%,102.54%,+126,44.33%
46.21%,+116,102.55%,47.39%,+111,46.73%,+114,102.39%,47.85%,+109,Edmonton Oilers,2,OT,7-Nov,,1,New York Islanders,-120,54.55%,102.39%, -114,53.27%,-123,55.16%,102.55%, -116,53.79%
29.49%,+239,102.43%,30.21%,+231,31.50%,+217,102.41%,32.26%,+210,Arizona Coyotes,1,,7-Nov,,3,Pittsburgh Penguins,-235,70.15%,102.41%, -217,68.50%,-260,72.22%,102.43%, -239,70.51%
43.39%,+130,102.43%,44.44%,+125,43.03%,+132,102.39%,44.05%,+127,Florida Panthers,1,,7-Nov,,3,Carolina Hurricanes,-140,58.33%,102.39%, -132,56.97%,-138,57.98%,102.43%, -130,56.61%
47.82%,+109,102.51%,49.02%,+104,46.52%,+115,102.37%,47.62%,+110,Nashville Predators,3,,7-Nov,,1,Columbus Blue Jackets,-121,54.75%,102.37%, -115,53.48%,-115,53.49%,102.51%, -109,52.18%
31.50%,+217,102.41%,32.26%,+210,36.03%,+178,102.42%,36.90%,+171,Vegas Golden Knights,2,,7-Nov,,3,Montreal Canadiens,-190,65.52%,102.42%, -178,63.97%,-235,70.15%,102.41%, -217,68.50%
37.53%,+166,102.49%,38.46%,+160,37.85%,+164,102.40%,38.76%,+158,Vancouver Canucks,5,,7-Nov,,3,Calgary Flames,-175,63.64%,102.40%, -164,62.15%,-178,64.03%,102.49%, -166,62.47%
53.06%, -113,102.41%,54.34%,-119,52.18%, -109,102.51%,53.49%, -115,Los Angeles Kings,4,OT,7-Nov,,3,Anaheim Ducks,+104,49.02%,102.51%,+109,47.82%,+108,48.08%,102.41%,+113,46.94%
45.20%,+121,102.44%,46.30%,+116,41.56%,+141,102.39%,42.55%,+135,Minnesota Wild,2,,8-Nov,,4,Toronto Maple Leafs,-149,59.84%,102.39%, -141,58.44%,-128,56.14%,102.44%, -121,54.80%
51.43%, -106,87.98%,45.25%,+121,42.25%,+137,102.47%,43.29%,+131,Boston Bruins,2,,8-Nov,,4,New York Rangers,-145,59.18%,102.47%, -137,57.75%,+134,42.74%,87.98%,+106,48.57%
46.94%,+113,102.41%,48.08%,+108,48.61%,+106,102.36%,49.75%,+101,Tampa Bay Lightning,5,,8-Nov,,1,San Jose Sharks,-111,52.61%,102.36%, -106,51.39%,-119,54.34%,102.41%, -113,53.06%
53.79%, -116,102.55%,55.16%,-123,53.79%, -116,102.55%,55.16%, -123,Edmonton Oilers,3,OT,9-Nov,,2,New Jersey Devils,+111,47.39%,102.55%,+116,46.21%,+111,47.39%,102.55%,+116,46.21%
46.94%,+113,102.41%,48.08%,+108,48.27%,+107,102.56%,49.50%,+102,Chicago Blackhawks,1,,9-Nov,,3,Philadelphia Flyers,-113,53.05%,102.56%, -107,51.73%,-119,54.34%,102.41%, -113,53.06%
